,Area,Battery/Assault,Sex Crimes,Vandalism/Arson,Theft,Misdemeanor,Child Crimes,Total,Lat,Lon
0,Southwest,13334,683,2836,23786,3699,473,44811,33.97753130704515,-118.16870558345049
1,Central,16070,849,4115,29732,3381,122,54269,33.92821619893493,-117.83658163408207
2,Mission,8440,531,2000,17478,2998,606,32053,34.13620698530559,-118.03678923969676
3,Devonshire,6938,376,1717,20503,2759,291,32584,34.152418177633194,-118.20074253007611
4,Northeast,7148,339,2552,21288,2973,216,34516,34.066722470738206,-118.10467286186116
5,Harbor,9528,468,2349,17051,3094,444,32934,33.710239066010814,-118.0697419384223
6,Van Nuys,7642,318,2361,20654,2802,270,34047,34.10625581108468,-118.19666704261755
7,West Valley,8094,474,2123,19467,3079,357,33594,34.15056726498779,-118.39389307316782
8,West LA,5851,384,2509,24961,3007,91,36803,34.01083015243323,-118.29901705567481
9,Wilshire,7879,542,2611,23781,3248,215,38276,33.94970267008047,-117.96252588567249
10,Pacific,8315,475,2901,31814,3500,161,47166,33.86182412966968,-117.9976615294916
11,Rampart,11668,592,2494,19728,2585,350,37417,33.97148646871743,-117.95491239009006
12,77th Street,17977,728,3016,23891,4132,633,50377,33.88860225896738,-117.98722332413601
13,Hollenbeck,8796,360,2150,15894,2401,294,29895,33.96089576517812,-117.87900574343536
14,Southeast,14664,605,2360,19350,2861,625,40465,33.81390335598665,-117.83168949462498
15,Hollywood,11346,673,3118,23380,3910,136,42563,33.85585375091042,-117.48462383290652
16,Newton,12396,577,2690,21602,2639,346,40250,33.930674722981365,-117.98742284223601
17,Topanga,7376,458,1813,19925,2972,187,32731,34.16183545568421,-118.49592674834255
18,Foothill,6902,377,1753,14731,2618,318,26699,34.15522395595341,-118.05481758492829
19,Olympic,11520,661,2756,22293,2801,301,40332,33.95628165476545,-117.93966834771398
20,N Hollywood,8793,505,2874,24147,3426,234,39979,34.09959279621801,-118.13599255609195
